Student Name,ID Number,Item Borrowed,Quantity,Status
Aldrich,2025-123457,Badminton Racket,2,RETURNED
Aldrich,2025-123457,Basketball Ball,4,RETURNED
eee,2025-676767,Badminton Racket,2,RETURNED
eee,2025-676767,Badminton Racket,2,RETURNED
BMO Admin,ADMIN01,Badminton Racket,2,RETURNED
BMO Admin,ADMIN01,Basketball Ball,2,RETURNED
BMO Admin,ADMIN01,Badminton Racket,2,RETURNED
BMO Admin,ADMIN01,Basketball Ball,2,RETURNED
Ezekiel,2025-6987,Badminton Racket,2,RETURNED
Ezekiel,2025-6987,Basketball Ball,2,RETURNED
BMO Admin,ADMIN01,Basketball Ball,3,RETURNED
BMO Admin,ADMIN01,Badminton Racket,1,RETURNED
BMO Admin,ADMIN01,Badminton Racket,2,RETURNED
BMO Admin,ADMIN01,Badminton Racket,2,RETURNED
